starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 11 18:30:02 2021	1613039402	18	8	26	8
Thu Feb 11 18:30:02 2021	1613039402	18	8	26	8
Thu Feb 11 18:30:02 2021	1613039402	19	8	27	8
Thu Feb 11 18:30:02 2021	1613039402	18	8	27	8
Thu Feb 11 18:30:02 2021	1613039402	19	10	29	10
Thu Feb 11 18:30:02 2021	1613039402	19	12	30	12
Thu Feb 11 18:30:02 2021	1613039402	0	31	31	4
Thu Feb 11 18:30:02 2021	1613039402	19	16	34	16
Thu Feb 11 18:30:02 2021	1613039402	18	16	35	16
Thu Feb 11 18:30:02 2021	1613039402	19	17	36	17
Thu Feb 11 18:30:02 2021	1613039402	18	18	36	18
Thu Feb 11 18:30:02 2021	1613039402	18	19	37	19
Thu Feb 11 18:30:02 2021	1613039402	19	18	37	18
Thu Feb 11 18:30:02 2021	1613039402	18	19	37	19
Thu Feb 11 18:30:02 2021	1613039402	19	20	38	20
Thu Feb 11 18:30:02 2021	1613039402	19	21	39	20
Thu Feb 11 18:30:02 2021	1613039402	18	23	41	22
Thu Feb 11 18:30:02 2021	1613039402	18	23	41	23
Thu Feb 11 18:30:02 2021	1613039402	18	23	41	23
Thu Feb 11 18:30:02 2021	1613039402	18	24	42	24
Thu Feb 11 18:30:02 2021	1613039402	18	24	42	24
Thu Feb 11 18:30:02 2021	1613039402	18	25	43	25
Thu Feb 11 18:30:03 2021	1613039403	1	42	43	42
Thu Feb 11 18:30:02 2021	1613039402	18	24	43	24
Thu Feb 11 18:30:02 2021	1613039402	18	25	43	25
Thu Feb 11 18:30:03 2021	1613039403	1	42	43	42
Thu Feb 11 18:30:03 2021	1613039403	1	42	43	42
Thu Feb 11 18:30:03 2021	1613039403	1	43	43	42
Thu Feb 11 18:30:02 2021	1613039402	18	26	44	25
Thu Feb 11 18:30:02 2021	1613039402	18	26	44	26
Thu Feb 11 18:30:02 2021	1613039402	18	26	44	26
Thu Feb 11 18:30:02 2021	1613039402	17	27	44	27
Thu Feb 11 18:30:03 2021	1613039403	0	45	45	44
Thu Feb 11 18:30:03 2021	1613039403	1	44	45	44
Thu Feb 11 18:30:03 2021	1613039403	0	45	45	45
Thu Feb 11 18:30:03 2021	1613039403	0	45	45	45
Thu Feb 11 18:30:03 2021	1613039403	0	45	45	45
Thu Feb 11 18:30:02 2021	1613039402	18	27	45	27
Thu Feb 11 18:30:03 2021	1613039403	4	42	45	41
Thu Feb 11 18:30:03 2021	1613039403	0	45	46	45
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	1	45	46	45
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	46	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:02 2021	1613039402	17	30	47	29
Thu Feb 11 18:30:02 2021	1613039402	18	29	47	28
Thu Feb 11 18:30:03 2021	1613039403	1	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:02 2021	1613039402	18	29	47	29
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:02 2021	1613039402	18	29	47	29
Thu Feb 11 18:30:03 2021	1613039403	1	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	1	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	1	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:02 2021	1613039402	17	30	47	30
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	1	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	1	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	2	45	47	45
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	1	46	47	45
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	1	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	1	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	1	47	47	45
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	1	47	47	45
Thu Feb 11 18:30:03 2021	1613039403	1	46	47	46
Thu Feb 11 18:30:03 2021	1613039403	1	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	47	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	2	45	48	45
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	1	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	1	46	48	46
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	1	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:02 2021	1613039402	19	29	48	29
Thu Feb 11 18:30:02 2021	1613039402	18	30	48	30
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	1	47	48	45
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	4	44	48	44
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	1	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	47
Thu Feb 11 18:30:03 2021	1613039403	1	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:04 2021	1613039404	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	2	47	48	47
Thu Feb 11 18:30:04 2021	1613039404	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	2	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	2	47	48	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	48	48
Thu Feb 11 18:30:03 2021	1613039403	1	47	49	47
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	46
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	47
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	46
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:02 2021	1613039402	18	31	49	31
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	46
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:04 2021	1613039404	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:02 2021	1613039402	18	31	49	31
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:02 2021	1613039402	17	32	49	32
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:04 2021	1613039404	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:04 2021	1613039404	0	49	49	49
Thu Feb 11 18:30:04 2021	1613039404	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	48	49	48
Thu Feb 11 18:30:04 2021	1613039404	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:04 2021	1613039404	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	1	48	49	48
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:04 2021	1613039404	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
Thu Feb 11 18:30:03 2021	1613039403	0	49	49	49
